Age,Annual_Income,Total_Debt,Credit_History_Years,Payment_History,Loan_Count,Credit_Utilization_Percent,Late_Payments,Employment_Years,Savings,Number_of_Credit_Cards,Creditworthy
50,1702534,435086,23,Good,0,56.2,1,11,1160479,6,Yes
22,1273609,896764,15,Good,4,37.0,2,4,729761,6,No
42,1680948,1216927,18,Poor,4,49.4,0,24,228504,0,Yes
50,448448,267179,25,Good,2,52.9,1,18,86827,1,Yes
56,1183429,500376,1,Good,6,64.0,0,15,633577,6,No
59,733091,112407,28,Poor,4,66.3,2,8,29567,5,No
40,912303,628372,17,Average,1,72.3,0,22,200491,6,Yes
35,815329,30963,10,Average,1,42.1,4,2,218153,1,No
46,938470,522848,26,Poor,3,56.7,2,26,325727,0,Yes
41,1245663,478842,6,Good,7,14.2,1,12,282574,1,Yes
56,1246348,506302,1,Good,0,9.0,1,1,497992,1,Yes
54,337584,169669,12,Poor,6,60.1,4,3,38488,6,No
43,303950,18756,21,Excellent,0,86.7,3,2,199860,6,No
58,1699832,177885,8,Excellent,7,41.9,2,22,1297977,1,Yes
40,1234477,523110,18,Excellent,6,20.5,4,22,628396,5,Yes
31,1734205,76744,14,Poor,3,7.7,2,13,92959,2,Yes
21,1497363,943833,30,Good,6,58.4,3,3,714236,6,No
23,1432078,784485,3,Excellent,4,8.4,1,0,732573,6,No
37,510170,218541,15,Average,3,36.0,4,12,274044,5,No
48,547570,88361,28,Good,0,11.7,1,9,382764,1,Yes
61,441486,109887,11,Poor,0,86.8,0,30,200733,1,No
53,520093,313860,11,Good,1,38.3,1,12,405108,3,No
59,958883,243874,10,Average,4,24.3,3,13,329537,6,No
43,713634,60685,26,Average,4,10.2,4,25,554019,6,Yes
60,474025,231302,9,Excellent,2,8.4,2,16,316698,1,Yes
37,1441357,1070730,20,Good,2,93.2,1,19,592038,4,No
21,1121768,295618,6,Poor,6,91.1,1,3,691741,6,No
21,1652725,760337,24,Good,7,94.3,3,3,1060906,0,No
31,1745070,260950,15,Good,1,77.4,0,13,1148479,1,No
47,740347,243768,17,Good,1,16.4,2,1,238760,4,Yes
33,1566992,765426,22,Good,1,54.4,3,14,648429,0,Yes
34,438635,30695,17,Poor,6,6.7,3,16,37936,3,Yes
25,953887,513932,22,Good,4,50.5,3,7,257360,3,Yes
44,1388948,48104,2,Good,4,75.3,1,21,627319,0,No
58,592104,311393,11,Average,4,23.9,3,12,134227,3,No
46,1637214,349570,1,Good,1,68.4,1,6,1207452,6,No
34,1694494,373500,28,Good,0,19.3,2,16,1253397,6,Yes
61,744485,78935,7,Good,2,49.7,0,5,176929,3,No
30,1471627,652806,30,Poor,5,51.5,0,12,466156,5,Yes
62,905947,104469,30,Good,0,56.4,1,18,52807,4,Yes
21,762004,104157,19,Good,1,79.6,2,0,301017,2,No
51,935728,562378,16,Good,5,66.1,3,8,338739,0,No
43,252240,85587,7,Good,4,46.1,1,5,30664,3,No
27,303257,19722,29,Excellent,2,83.9,3,9,32259,4,Yes
49,1023601,401040,20,Good,1,84.9,1,16,170740,4,Yes
34,432164,319217,16,Average,5,89.5,1,1,74147,6,No
46,1485129,770581,19,Good,6,28.9,0,23,743718,5,Yes
61,1642436,745718,8,Excellent,5,33.2,1,2,1022987,5,No
34,1443008,1048025,12,Good,0,60.4,0,3,924836,4,Yes
22,1175909,204110,2,Good,0,30.1,1,4,44307,3,Yes
54,313004,112017,20,Average,4,26.8,1,2,144418,6,Yes
21,1463141,571771,20,Good,1,18.1,1,3,555390,2,Yes
62,263555,148045,20,Good,3,33.6,2,27,73543,6,Yes
52,1202460,185064,25,Excellent,3,35.7,2,27,51796,6,Yes
23,271006,145203,14,Average,2,69.4,3,5,77869,6,No
58,303853,137978,27,Excellent,2,58.7,2,22,176599,1,Yes
22,224900,73218,29,Good,3,31.2,3,4,31291,0,Yes
41,1585474,175833,22,Good,4,34.0,1,6,841897,0,Yes
48,1256941,813465,30,Good,5,21.8,3,4,844954,1,Yes
29,816308,415334,28,Average,1,20.2,1,11,591537,5,Yes
23,977552,488159,6,Average,0,47.4,2,5,566736,0,Yes
29,745609,478240,20,Excellent,4,67.1,2,11,127220,6,No
51,1372639,55342,16,Good,7,89.4,6,21,195365,2,No
60,1445399,205746,7,Average,0,37.9,8,11,744272,0,No
40,272769,102198,20,Good,1,91.3,2,15,37633,4,No
42,562736,375979,21,Good,3,56.5,1,12,324570,0,Yes
42,198658,146826,23,Average,4,37.9,1,16,93647,6,Yes
25,1784642,462128,23,Excellent,3,70.2,3,7,968117,6,Yes
28,1546808,1151689,26,Poor,4,59.6,2,10,489757,6,No
32,1008791,739911,29,Good,5,41.9,3,14,337084,3,Yes
33,613819,271494,8,Good,4,19.4,1,15,360432,6,No
54,870658,249269,1,Good,7,25.9,3,24,663610,4,No
52,1699825,150945,17,Good,4,20.4,2,6,152378,3,Yes
33,1779034,802801,14,Good,6,38.1,2,15,680476,2,Yes
41,1650523,1137679,26,Average,3,47.3,1,17,1300512,0,Yes
37,1496502,118524,26,Excellent,6,93.7,1,7,733053,1,No
44,740881,33440,3,Average,0,67.8,2,16,194733,5,No
26,1667045,1181128,13,Excellent,0,29.7,1,8,119754,6,Yes
45,667689,434098,25,Average,4,62.4,1,6,459231,2,No
36,1718659,871444,13,Excellent,5,17.6,6,1,1180562,1,No
56,866684,620620,15,Poor,3,82.5,1,1,299564,2,No
58,699349,391700,16,Poor,1,30.9,1,3,255300,2,Yes
29,1408163,446951,25,Average,1,61.1,1,11,686197,2,Yes
25,648466,266895,19,Good,0,51.9,1,1,472634,2,Yes
23,1629087,247691,22,Good,2,9.5,1,5,651374,0,Yes
65,1738309,1093988,29,Average,6,40.8,2,23,376580,3,Yes
62,1142261,392842,16,Excellent,3,61.3,1,8,365495,5,Yes
40,840902,258206,14,Excellent,1,52.0,1,22,577102,4,Yes
55,222828,147545,18,Average,6,38.3,0,9,154240,2,Yes
32,301668,122092,13,Good,1,67.4,1,14,228379,0,No
46,1051808,545302,9,Excellent,5,48.9,2,7,769767,2,No
23,1178757,687949,10,Good,1,83.6,3,5,783359,4,No
64,1386861,821198,23,Good,6,44.2,3,2,671304,1,No
41,1370402,634214,21,Good,5,44.0,2,20,533647,5,Yes
23,518540,340861,9,Excellent,6,60.3,0,5,50544,4,No
33,874489,41735,12,Excellent,4,80.4,1,9,243942,3,No
51,1314033,819320,25,Good,5,47.8,2,28,63105,4,Yes
39,189885,55477,28,Poor,2,87.1,0,5,17694,3,No
49,295598,186199,5,Excellent,6,93.0,3,27,46695,4,No
34,1241404,396754,7,Excellent,5,67.4,2,2,586971,3,No
26,1720668,928899,28,Excellent,3,54.9,2,8,774637,5,Yes
34,390097,211158,24,Excellent,4,13.0,3,16,74499,1,Yes
65,865154,318427,14,Average,1,52.9,2,5,674527,0,No
64,1668529,1017767,24,Good,4,40.2,3,6,168481,4,Yes
52,1077767,44797,26,Good,6,37.8,0,5,801171,3,Yes
